task_name,command,mean_traj_rewards,mean_success_rates,test_mean_score,SR_test_L3,SR_test_L5
assembly,bash scripts/evaluation_policy.sh dp3 uni_mix assembly gpo-all-0-w 0 0,1680.6064,0.0000,0.0,0.0000,0.0000
basketball,bash scripts/evaluation_policy.sh dp3 uni_mix basketball gpo-all-0-w 0 0,60.4308,0.0000,0.0,0.0000,0.0000
bin-picking,bash scripts/evaluation_policy.sh dp3 uni_mix bin-picking gpo-all-0-w 0 0,185.3424,0.0000,0.0,0.0000,0.0000
box-close,bash scripts/evaluation_policy.sh dp3 uni_mix box-close gpo-all-0-w 0 0,1520.3170,0.0000,0.0,0.0000,0.0000
button-press-topdown-wall,bash scripts/evaluation_policy.sh dp3 uni_mix button-press-topdown-wall gpo-all-0-w 0 0,1192.0166,0.6500,0.65,0.6500,0.6500
button-press-topdown,bash scripts/evaluation_policy.sh dp3 uni_mix button-press-topdown gpo-all-0-w 0 0,5452.5732,0.4000,0.4,0.4000,0.4000
button-press-wall,bash scripts/evaluation_policy.sh dp3 uni_mix button-press-wall gpo-all-0-w 0 0,4616.5793,0.8000,0.8,0.8000,0.8000
button-press,bash scripts/evaluation_policy.sh dp3 uni_mix button-press gpo-all-0-w 0 0,2342.1119,0.8000,0.8,0.8000,0.8000
coffee-button,bash scripts/evaluation_policy.sh dp3 uni_mix coffee-button gpo-all-0-w 0 0,2939.6742,0.9000,0.9,0.9000,0.9000
coffee-pull,bash scripts/evaluation_policy.sh dp3 uni_mix coffee-pull gpo-all-0-w 0 0,484.3487,0.0000,0.0,0.0000,0.0000
coffee-push,bash scripts/evaluation_policy.sh dp3 uni_mix coffee-push gpo-all-0-w 0 0,200.3859,0.0000,0.0,0.0000,0.0000
dial-turn,bash scripts/evaluation_policy.sh dp3 uni_mix dial-turn gpo-all-0-w 0 0,3764.4038,0.0500,0.05,0.0500,0.0500
disassemble,bash scripts/evaluation_policy.sh dp3 uni_mix disassemble gpo-all-0-w 0 0,1390.9118,0.0500,0.05,0.0500,0.0500
door-close,bash scripts/evaluation_policy.sh dp3 uni_mix door-close gpo-all-0-w 0 0,14172.4035,1.0000,1.0,1.0000,1.0000
door-lock,bash scripts/evaluation_policy.sh dp3 uni_mix door-lock gpo-all-0-w 0 0,2754.8658,0.0000,0.0,0.0000,0.0000
door-open,bash scripts/evaluation_policy.sh dp3 uni_mix door-open gpo-all-0-w 0 0,10317.8939,0.7000,0.7,0.7000,0.7000
door-unlock,bash scripts/evaluation_policy.sh dp3 uni_mix door-unlock gpo-all-0-w 0 0,3975.3454,0.0500,0.05,0.0500,0.0500
drawer-close,bash scripts/evaluation_policy.sh dp3 uni_mix drawer-close gpo-all-0-w 0 0,4449.9123,0.5500,0.55,0.5500,0.5500
drawer-open,bash scripts/evaluation_policy.sh dp3 uni_mix drawer-open gpo-all-0-w 0 0,6124.1017,0.3500,0.35,0.3500,0.3500
faucet-close,bash scripts/evaluation_policy.sh dp3 uni_mix faucet-close gpo-all-0-w 0 0,8616.3739,0.0500,0.05,0.0500,0.0500
faucet-open,bash scripts/evaluation_policy.sh dp3 uni_mix faucet-open gpo-all-0-w 0 0,9191.5507,0.1000,0.1,0.1000,0.1000
hammer,bash scripts/evaluation_policy.sh dp3 uni_mix hammer gpo-all-0-w 0 0,3575.8537,0.1000,0.1,0.1000,0.1000
hand-insert,bash scripts/evaluation_policy.sh dp3 uni_mix hand-insert gpo-all-0-w 0 0,1005.7980,0.1000,0.1,0.1000,0.1000
handle-press,bash scripts/evaluation_policy.sh dp3 uni_mix handle-press gpo-all-0-w 0 0,8432.4028,0.5500,0.55,0.5500,0.5500
handle-pull-side,bash scripts/evaluation_policy.sh dp3 uni_mix handle-pull-side gpo-all-0-w 0 0,126.8180,0.0000,0.0,0.0000,0.0000
handle-pull,bash scripts/evaluation_policy.sh dp3 uni_mix handle-pull gpo-all-0-w 0 0,301.9689,0.0500,0.05,0.0500,0.0500
lever-pull,bash scripts/evaluation_policy.sh dp3 uni_mix lever-pull gpo-all-0-w 0 0,1456.2180,0.0500,0.05,0.0500,0.0500
peg-insert-side,bash scripts/evaluation_policy.sh dp3 uni_mix peg-insert-side gpo-all-0-w 0 0,2152.6936,0.1500,0.15,0.1500,0.1500
