task_name,command,mean_traj_rewards,mean_success_rates,test_mean_score,SR_test_L3,SR_test_L5
assembly,bash scripts/evaluation_policy.sh dp3 uni_mix assembly gpo-all-0-w 0 0,1680.2273,0.0000,0.0,0.0000,0.0000
basketball,bash scripts/evaluation_policy.sh dp3 uni_mix basketball gpo-all-0-w 0 0,59.7258,0.0000,0.0,0.0000,0.0000
bin-picking,bash scripts/evaluation_policy.sh dp3 uni_mix bin-picking gpo-all-0-w 0 0,187.2075,0.0000,0.0,0.0000,0.0000
box-close,bash scripts/evaluation_policy.sh dp3 uni_mix box-close gpo-all-0-w 0 0,1560.0165,0.0000,0.0,0.0000,0.0000
button-press-topdown-wall,bash scripts/evaluation_policy.sh dp3 uni_mix button-press-topdown-wall gpo-all-0-w 0 0,1209.0406,0.6500,0.65,0.6500,0.6500
button-press-topdown,bash scripts/evaluation_policy.sh dp3 uni_mix button-press-topdown gpo-all-0-w 0 0,5273.3258,0.4000,0.4,0.4000,0.4000
button-press-wall,bash scripts/evaluation_policy.sh dp3 uni_mix button-press-wall gpo-all-0-w 0 0,4277.6491,0.6000,0.6,0.6000,0.6000
button-press,bash scripts/evaluation_policy.sh dp3 uni_mix button-press gpo-all-0-w 0 0,2269.0279,0.8000,0.8,0.8000,0.8000
coffee-button,bash scripts/evaluation_policy.sh dp3 uni_mix coffee-button gpo-all-0-w 0 0,2924.8000,0.8000,0.8,0.8000,0.8000
coffee-pull,bash scripts/evaluation_policy.sh dp3 uni_mix coffee-pull gpo-all-0-w 0 0,267.9893,0.0000,0.0,0.0000,0.0000
coffee-push,bash scripts/evaluation_policy.sh dp3 uni_mix coffee-push gpo-all-0-w 0 0,255.4611,0.0000,0.0,0.0000,0.0000
dial-turn,bash scripts/evaluation_policy.sh dp3 uni_mix dial-turn gpo-all-0-w 0 0,3655.2027,0.0500,0.05,0.0500,0.0500
disassemble,bash scripts/evaluation_policy.sh dp3 uni_mix disassemble gpo-all-0-w 0 0,1192.5785,0.0000,0.0,0.0000,0.0000
door-close,bash scripts/evaluation_policy.sh dp3 uni_mix door-close gpo-all-0-w 0 0,14297.1234,1.0000,1.0,1.0000,1.0000
door-lock,bash scripts/evaluation_policy.sh dp3 uni_mix door-lock gpo-all-0-w 0 0,3180.9633,0.0500,0.05,0.0500,0.0500
door-open,bash scripts/evaluation_policy.sh dp3 uni_mix door-open gpo-all-0-w 0 0,10504.8398,0.7500,0.75,0.7500,0.7500
door-unlock,bash scripts/evaluation_policy.sh dp3 uni_mix door-unlock gpo-all-0-w 0 0,4479.9618,0.1000,0.1,0.1000,0.1000
drawer-close,bash scripts/evaluation_policy.sh dp3 uni_mix drawer-close gpo-all-0-w 0 0,4432.8346,0.5000,0.5,0.5000,0.5000
drawer-open,bash scripts/evaluation_policy.sh dp3 uni_mix drawer-open gpo-all-0-w 0 0,6420.6506,0.4000,0.4,0.4000,0.4000
faucet-close,bash scripts/evaluation_policy.sh dp3 uni_mix faucet-close gpo-all-0-w 0 0,8169.6793,0.0500,0.05,0.0500,0.0500
faucet-open,bash scripts/evaluation_policy.sh dp3 uni_mix faucet-open gpo-all-0-w 0 0,9667.1422,0.2000,0.2,0.2000,0.2000
hammer,bash scripts/evaluation_policy.sh dp3 uni_mix hammer gpo-all-0-w 0 0,3554.6924,0.1500,0.15,0.1500,0.1500
hand-insert,bash scripts/evaluation_policy.sh dp3 uni_mix hand-insert gpo-all-0-w 0 0,561.9266,0.0500,0.05,0.0500,0.0500
handle-press,bash scripts/evaluation_policy.sh dp3 uni_mix handle-press gpo-all-0-w 0 0,7419.3728,0.5500,0.55,0.5500,0.5500
handle-pull-side,bash scripts/evaluation_policy.sh dp3 uni_mix handle-pull-side gpo-all-0-w 0 0,125.3887,0.0000,0.0,0.0000,0.0000
handle-pull,bash scripts/evaluation_policy.sh dp3 uni_mix handle-pull gpo-all-0-w 0 0,698.7234,0.1500,0.15,0.1500,0.1500
lever-pull,bash scripts/evaluation_policy.sh dp3 uni_mix lever-pull gpo-all-0-w 0 0,1410.7063,0.1000,0.1,0.1000,0.1000
peg-insert-side,bash scripts/evaluation_policy.sh dp3 uni_mix peg-insert-side gpo-all-0-w 0 0,1225.7012,0.1000,0.1,0.1000,0.1000
peg-unplug-side,bash scripts/evaluation_policy.sh dp3 uni_mix peg-unplug-side gpo-all-0-w 0 0,1302.9215,0.2000,0.2,0.2000,0.2000
pick-out-of-hole,bash scripts/evaluation_policy.sh dp3 uni_mix pick-out-of-hole gpo-all-0-w 0 0,146.0456,0.0000,0.0,0.0000,0.0000
pick-place-wall,bash scripts/evaluation_policy.sh dp3 uni_mix pick-place-wall gpo-all-0-w 0 0,0.0000,0.0000,0.0,0.0000,0.0000
pick-place,bash scripts/evaluation_policy.sh dp3 uni_mix pick-place gpo-all-0-w 0 0,42.5117,0.0000,0.0,0.0000,0.0000
plate-slide-back-side,bash scripts/evaluation_policy.sh dp3 uni_mix plate-slide-back-side gpo-all-0-w 0 0,3033.8842,0.0000,0.0,0.0000,0.0000
plate-slide-back,bash scripts/evaluation_policy.sh dp3 uni_mix plate-slide-back gpo-all-0-w 0 0,1607.7919,0.0000,0.0,0.0000,0.0000
plate-slide-side,bash scripts/evaluation_policy.sh dp3 uni_mix plate-slide-side gpo-all-0-w 0 0,15690.6818,0.9500,0.95,0.9500,0.9500
plate-slide,bash scripts/evaluation_policy.sh dp3 uni_mix plate-slide gpo-all-0-w 0 0,2007.0760,0.0000,0.0,0.0000,0.0000
push-wall,bash scripts/evaluation_policy.sh dp3 uni_mix push-wall gpo-all-0-w 0 0,109.3199,0.0000,0.0,0.0000,0.0000
